PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
TNR053485,,,2421,"Sawmills And Planing Mills, General"
TNR053487,928110,National Security,9711,National Security
TNR053492,,,3272,Concrete Products
TNR053494,423930,Recyclable Material Merchant Wholesalers,5093,Scrap And Waste Materials
TNR053495,,,3479,Metal Coating And Allied Services
TNR053496,488119,Other Airport Operations,4581,"Airports, Flying Fields, & Services"
TNR053497,327390,Other Concrete Product Manufacturing,3272,Concrete Products
TNR053498,327390,Other Concrete Product Manufacturing,3272,Concrete Products
TNR053500,,,3479,Metal Coating And Allied Services
TNR053501,337121,Upholstered Household Furniture Manufacturing,2512,Upholstered Household Furniture
TNR053502,322211,Corrugated and Solid Fiber Box Manufacturing,2653,Corrugated And Solid Fiber Boxes
TNR053503,311412,Frozen Specialty Food Manufacturing,2038,Frozen Specialties
TNR053506,423140,Motor Vehicle Parts [Used] Merchant Wholesalers,5015,"Motor Vehicle Parts, Used"
TNR053508,,,9999,Nonclassifiable Establishments
TNR053510,423930,Recyclable Material Merchant Wholesalers,5093,Scrap And Waste Materials
TNR053511,488119,Other Airport Operations,4581,"Airports, Flying Fields, & Services"
TNR053512,,,2426,Hardwood Dimension & Flooring Mills
TNR053513,,,4581,"Airports, Flying Fields, & Services"
TNR053514,,,3519,Internal Combustion Engines
TNR053516,311511,Fluid Milk Manufacturing,2026,Fluid Milk
TNR053517,491110,Postal Service,4311,U.S. Postal Service
TNR053519,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",2053,"Frozen Bakery Products, Except Bread"
TNR053520,423930,Recyclable Material Merchant Wholesalers,5093,Scrap And Waste Materials
TNR053521,324122,Asphalt Shingle and Coating Materials Manufacturing,2952,Asphalt Felts And Coatings
TNR053523,,,3545,Machine Tool Accessories
TNR053524,,,2411,Logging
TNR053525,113310,Logging,2411,Logging
TNR053526,113310,Logging,2411,Logging
TNR053527,113310,Logging,2411,Logging
TNR053529,322130,Paperboard Mills,2631,Paperboard Mills
TNR053531,325991,Custom Compounding Of Purchased Resins,3087,Custom Compound Purchased Resins
TNR053532,324121,Asphalt Paving Mixture and Block Manufacturing,2951,Asphalt Paving Mixtures And Blocks
TNR053533,324121,Asphalt Paving Mixture and Block Manufacturing,2951,Asphalt Paving Mixtures And Blocks
TNR053535,483211,Inland Water Freight Transportation,4449,Water Transportation Of Freight
TNR053537,324121,Asphalt Paving Mixture and Block Manufacturing,2951,Asphalt Paving Mixtures And Blocks
TNR053546,,,4215,"Courier Services, Except By Air"
TNR053547,492110,Couriers and Express Delivery Services,4215,"Courier Services, Except By Air"
TNR053548,492110,Couriers and Express Delivery Services,4215,"Courier Services, Except By Air"
TNR053549,492110,Couriers and Express Delivery Services,4215,"Courier Services, Except By Air"
TNR053550,,,4215,"Courier Services, Except By Air"
TNR053551,,,4215,"Courier Services, Except By Air"
TNR053552,492110,Couriers and Express Delivery Services,4215,"Courier Services, Except By Air"
TNR053553,,,4215,"Courier Services, Except By Air"
